coorte,test,voto_diploma,tipo_scuola,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IntC,data_IntC,RETI,data_RETI,CAz,data_CAz
2011,14,63,LS,114,114,23,25,2013-06-20,24,2012-06-18,24,2013-06-20,23,2014-07-23,20,2014-01-14,0,0,18,2015-01-20,0,0,20,2014-02-19,21,2013-07-19,21,2014-07-11,24,2014-09-16,0,0,24,2014-01-21,0,0,0,0,0,0,0,0,30,2015-01-13,0,0
2011,6,82,AL,42,42,25,0,0,0,0,0,0,0,0,0,0,0,0000-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,12,100,IP,180,159,26,28,2012-07-11,27,2012-07-17,25,2012-07-10,30,2012-06-22,26,2012-06-14,0,2013-03-26,27,2013-02-15,26,2013-03-08,31,2013-06-26,23,2013-02-28,28,2013-06-28,26,2013-06-10,23,2013-07-29,27,2013-09-12,25,2014-06-10,29,2014-01-20,18,2014-06-18,0,0,31,2014-02-10,0,2014-01-10
2011,13,63,LS,15,12,20,0,0,0,0,0,0,20,2013-06-27,0,0,0,2012-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,89,IT,63,60,23,27,2012-07-11,23,2013-07-24,23,2012-07-10,0,0,0,0,0,2013-03-04,0,0,0,0,26,2014-01-22,18,2014-02-04,0,0,0,0,0,0,23,2014-07-17,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,66,LS,135,132,24,27,2012-06-19,22,2013-07-08,26,2013-07-18,26,2012-09-21,19,2014-01-14,0,2012-05-16,23,2014-05-05,18,2013-07-01,25,2013-09-11,26,2014-02-04,23,2014-07-24,21,2013-07-01,0,0,25,2015-01-26,0,0,0,0,20,2014-07-24,0,0,23,2015-02-16,0,0
2011,12,79,LC,153,150,22,27,2012-07-11,20,2012-06-18,24,2013-06-20,27,2013-02-21,19,2014-01-14,0,2012-03-27,20,2014-02-13,18,2014-06-30,24,2013-07-24,21,2013-07-19,22,2014-07-25,21,2013-07-29,23,2014-07-03,20,2013-09-25,0,0,20,2015-02-24,18,2014-09-09,0,0,25,2015-01-13,0,0
2011,13,63,LS,33,21,22,0,0,0,0,0,0,20,2013-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,66,LS,180,159,25,31,2012-06-19,25,2012-07-30,25,2012-06-21,26,2012-07-06,24,2013-02-06,0,2012-10-30,20,2014-01-16,30,2013-07-01,26,2014-02-19,24,2013-02-26,24,2013-07-11,23,2014-02-05,26,2015-01-30,23,2013-09-25,21,2015-03-18,25,2014-02-24,18,2014-06-18,0,0,26,2014-01-20,0,2014-07-28
2011,9,60,IT,102,99,22,27,2012-07-11,23,2014-07-24,22,2012-07-10,27,2013-02-28,18,2015-02-06,0,2013-06-05,22,2014-03-27,18,2014-09-05,22,2014-01-22,20,2015-03-04,22,2015-02-13,0,0,0,0,0,0,0,0,0,0,0,0,25,2015-02-18,0,0,0,0
2011,12,81,TC,12,12,27,27,2012-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,77,LS,24,24,22,23,2012-06-19,0,0,0,0,21,2013-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,63,LS,84,81,24,25,2012-07-11,0,0,23,2012-07-10,18,2013-01-29,21,2012-08-01,0,2013-09-26,23,2013-02-25,30,2013-07-01,0,0,30,2013-07-19,19,2013-06-28,23,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10,87,IT,84,84,25,30,2012-07-31,30,2012-07-10,22,2012-07-25,25,2012-09-21,0,0,0,0,23,2013-09-19,28,2013-07-01,26,2013-06-26,22,2013-02-26,0,0,0,0,0,0,23,2013-09-25,0,0,0,0,0,0,0,0,0,0,0,0
